INSURANCE_TYPE,PREMIUM_AMOUNT,CLAIM_AMOUNT,CITY,STATE,POSTAL_CODE,MARITAL_STATUS,AGE,TENURE,EMPLOYMENT_STATUS,NO_OF_FAMILY_MEMBERS,RISK_SEGMENTATION,HOUSE_TYPE,SOCIAL_CLASS,CUSTOMER_EDUCATION_LEVEL,CLAIM_STATUS,INCIDENT_SEVERITY,AUTHORITY_CONTACTED,ANY_INJURY,POLICE_REPORT_AVAILABLE,INCIDENT_STATE,INCIDENT_CITY,INCIDENT_HOUR_OF_THE_DAY,AGENT_ID,VENDOR_ID,AGENT_NAME,DATE_OF_JOINING,AGENT_CITY,AGENT_STATE,AGENT_POSTAL_CODE,EMP_ROUTING_NUMBER,EMP_ACCT_NUMBER,VENDOR_NAME,VENDOR_CITY,VENDOR_STATE,VENDOR_POSTAL_CODE,TRANSACTION_DAY,TRANSACTION_MONTH,TRANSACTION_YEAR,POLICY_EFF_DAY,POLICY_EFF_MONTH,POLICY_EFF_YEAR,LOSS_DAY,LOSS_MONTH,LOSS_YEAR,REPORT_DAY,REPORT_MONTH,REPORT_YEAR
Health,157.13,9000,Glendale,AZ,85308,Y,54,89,Y,3,L,Own,LI,Bachelor,A,Major Loss,Police,0,1,GA,Savannah,4,AGENT00413,VNDR00556,Amy Wangler,1994-01-06,Nashville,TN,37217,35441155,LRZO53254369804934,Ramsey Inc,Panama City,FL,32405,1,6,2020,23,6,2015,16,5,2020,21,5,2020
Property,141.71,26000,Arvada,CO,80005,N,61,80,Y,4,L,Rent,MI,Bachelor,A,Total Loss,Ambulance,1,0,AL,Montgomery,0,AGENT00769,VNDR00592,Jessica Montez,2004-05-28,Glendale,AZ,85301,44055451,XBYG14382904542874,"Morales, Campbell and Washington",Fayetteville,AR,72701,1,6,2020,21,4,2018,13,5,2020,18,5,2020
Property,157.24,13000,Vallejo,CA,94591,N,47,68,Y,6,L,Rent,MI,PhD,A,Total Loss,Police,0,1,CO,Grand Junction,19,AGENT00883,VNDR00031,Howard Smith,2004-08-01,Montgomery,AL,36105,55770246,WRXH14597428306333,Johnson Ltd,Fayetteville,AR,72703,1,6,2020,3,10,2019,21,5,2020,26,5,2020
Health,172.87,16000,Thunderbolt,GA,31404,Y,36,16,Y,7,L,Mortgage,MI,Masters,A,Minor Loss,Ambulance,0,0,GA,Savannah,12,AGENT00278,VNDR00075,Patricia Tucker,2007-06-12,Norman,OK,73071,87652976,YEPN16077902472499,Blackwell-Foster,Nashville,TN,37215,1,6,2020,29,11,2016,14,5,2020,19,5,2020
Travel,88.53,3000,Livermore,CA,94550,Y,51,16,Y,2,M,Rent,HI,Masters,A,Major Loss,Police,0,1,TN,Nashville,18,AGENT00636,VNDR00472,Brenda Bean,2010-01-19,Glen Burnie,MD,21061,76119019,HZBK86544578578547,Evans-Scott,Washington,DC,20018,1,6,2020,26,12,2011,17,5,2020,22,5,2020
Life,87.02,63000,Glendale,AZ,85301,N,42,38,Y,2,M,Rent,MI,College,A,Major Loss,Ambulance,0,1,AZ,Glendale,0,AGENT00402,VNDR00083,Luciano Jackson,2009-08-01,Bakersfield,CA,93311,35911575,VHQA45663806811975,"Kennedy, Benjamin and Young",Montgomery,AL,36109,1,6,2020,28,12,2012,20,5,2020,25,5,2020
Health,197.23,3000,Panama City,FL,32404,Y,61,20,Y,7,L,Rent,MI,College,A,Major Loss,Police,1,1,CT,Manchester,10,AGENT00322,VNDR00150,Edgar Talley,2013-06-02,East Longmeadow,MA,1028,29678921,FBBJ92261917454231,Moreno LLC,Nashville,TN,37115,1,6,2020,26,10,2012,13,5,2020,18,5,2020
Motor,83.77,8000,Savannah,GA,31406,Y,35,97,Y,3,L,Rent,MI,High School,A,Total Loss,Police,0,1,FL,Panama City Beach,10,AGENT00152,VNDR00326,John Hensel,1995-11-11,Louisville,KY,40272,51435255,UVWP07029161363261,Stewart Ltd,Washington,DC,20020,1,6,2020,30,12,2018,14,5,2020,19,5,2020
Motor,82.14,5000,Louisville,KY,40202,N,27,118,Y,4,H,Mortgage,MI,Bachelor,A,Major Loss,Police,0,1,AZ,Glendale,22,AGENT00450,VNDR00437,Peter Thomas,2017-10-12,Washington,DC,20001,92228117,VHVZ90875461509264,Hanson Inc,Fayetteville,AR,72701,1,6,2020,27,6,2019,21,5,2020,26,5,2020
Travel,71.29,4000,Montgomery,AL,36117,Y,61,119,Y,4,L,Rent,HI,PhD,A,Major Loss,Ambulance,0,0,CA,San Leandro,4,AGENT00682,VNDR00023,Michael Ortiz,2000-08-10,Anchorage,AK,99508,28122449,GETW44783556180552,Mckinney-Campbell,Louisville,KY,40219,1,6,2020,19,12,2015,15,5,2020,20,5,2020
